orthography	source	field	verdict	checked_by	note
Nuadha	https://en.wiktionary.org/wiki/N%C3%BAadu	oi_nom,oi_gen,stem,gender	ok	harvest verifier (session 5f09 agent a0a, 2026-08-27)	Núadu, gen. Núadat, masc. t-stem — matches
tír	https://en.wiktionary.org/wiki/t%C3%ADr#Old_Irish	oi_nom,oi_gen,stem,gender	ok	harvest verifier (session 5f09 agent a0a, 2026-08-27)	tír, gen. tíre, neuter s-stem shown (row then mapped s-stem to irregular; reclassified s in Task 3)
Patraic	digest §10.5 ; digest §10.6	source	ok	harvest verifier (session 5f09 agent a0a, 2026-08-27)	SKIP: local citation (digest §10.5, §10.6), not web-checkable; row renamed Pátraic in Task 3
Seán	https://en.wiktionary.org/wiki/Se%C3%A1n	status,source	ok	harvest verifier (session 5f09 agent a0a, 2026-08-27)	page confirms borrowing from Old French/Anglo-Norman Jehan < Latin Iohannes, postdates Old Irish — none-claim supported
cú	https://en.wiktionary.org/wiki/c%C3%BA#Old_Irish	oi_nom,oi_gen,stem,gender	ok	harvest verifier (session 5f09 agent a0a, 2026-08-27)	cú, gen. con, masc. n-stem — matches
Cuanu	digest §10.6	source	ok	harvest verifier (session 5f09 agent a0a, 2026-08-27)	SKIP: local citation (digest §10.6)
sionnach	https://en.wiktionary.org/wiki/sinnach#Old_Irish	oi_nom,oi_gen,stem,gender	ok	harvest verifier (session 5f09 agent a0a, 2026-08-27)	sinnach, gen. sinnaig, masc. o-stem — matches
Ruairí	https://en.wiktionary.org/wiki/Ruaidr%C3%AD	oi_nom,oi_gen,stem,gender	ok	harvest verifier (session 5f09 agent a0a, 2026-08-27)	Ruaidrí, gen. Ruadrach, masc. g-stem — matches
Cuirithir	digest §10.6	source	ok	harvest verifier (session 5f09 agent a0a, 2026-08-27)	SKIP: local citation (digest §10.6)
béas	https://en.wiktionary.org/wiki/b%C3%A9s#Old_Irish	oi_nom,oi_gen,stem,gender	ok	harvest verifier (session 5f09 agent a0a, 2026-08-27)	bés, gen. béso, masc. u-stem — matches
Niall	https://en.wiktionary.org/wiki/N%C3%ADall	oi_nom,oi_gen,stem,gender	ok	harvest verifier (session 5f09 agent a0a, 2026-08-27)	Níall, gen. Néill, masc. o-stem — matches
fuil	https://en.wiktionary.org/wiki/fuil#Old_Irish	oi_nom,oi_gen,stem,gender	ok	harvest verifier (session 5f09 agent a0a, 2026-08-27)	fuil, gen. folo, i-stem — matches
cliste	https://en.wiktionary.org/wiki/cliste	status,source	ok	harvest verifier (session 5f09 agent a0a, 2026-08-27)	no Old Irish section; page states Middle Irish cliste < past participle of clisid — none-claim supported
bán	https://en.wiktionary.org/wiki/bán	oi_nom,stem	ok	harvest verifier (session 5f09 agent a0a, 2026-08-27)	o/ā-class adjective confirmed
