orthography	source	field	verdict	checked_by	note
Ailbhe	https://en.wikipedia.org/wiki/Ailbe_of_Emly	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Wikipedia article gives the Old Irish spelling as recorded; no declension — stem unattested
Aldfrith	digest §10.6	oi_nom,oi_gen	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	digest §10.6 prints the same nominative/genitive; local citation, not web-checkable
Anblamath	digest §10.6	oi_nom,oi_gen	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	digest §10.6 prints the same nominative/genitive; local citation, not web-checkable
Aodhán	https://en.wiktionary.org/wiki/Aodh%C3%A1n	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Irish etymology: from Old Irish Aédán; no Aédán page — stem unattested
Aoibheann	https://en.wikipedia.org/wiki/Aoibheann	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Wikipedia article gives the Old Irish spelling as recorded; no declension — stem unattested
Aoife	https://en.wiktionary.org/wiki/Aoife	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Irish etymology: from Old Irish Aífe; the Aífe page has no Old Irish section — stem unattested
aon	https://en.wiktionary.org/wiki/aon	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	numeral: Old Irish form confirmed on the cited page
ard	https://en.wiktionary.org/wiki/ard	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
ard-	https://en.wiktionary.org/wiki/ard-	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	prefix: Old Irish base confirmed in the cited page's etymology
bacach	https://en.wiktionary.org/wiki/bacach	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
bainne	https://en.wiktionary.org/wiki/bannae#Old_Irish	oi_nom,oi_gen,stem,gender	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	bannae: gender unknown (sga-noun|u), io-masc and io-neut tables — gender left blank
beag	https://en.wiktionary.org/wiki/beag	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
