source_lang	source_form	source_ipa	target_form	target_ipa	process	provenance	note
eng	Lockdown		ლოკდაუნი	lɔkʼdauni	epenthesis;substitution;vowel	gabunia2021 pp.50-51 (Geo-like)	/k/ -> ejective; /aʊ/ kept as two vowels; final -i; Eng-like /lɔkʰdauni/
eng	Instagram		ინსტაგრამი	instʼagrami	epenthesis;substitution	gabunia2021 pp.50-51 (Geo-like)	/t/ -> ejective; clusters nst and gr imported intact; Eng-like /instʰagrami/
eng	Twitter		ტვიტერი	tʼvitʼɛri	epenthesis;substitution;gemination	gabunia2021 pp.50-51 (Geo-like)	both /t/ -> ejective; tt degeminated; Eng-like /tʰvitʰɛri/
eng	Winston		ვინსტონი	vinstoni	epenthesis;substitution	gabunia2021 pp.50-51 (Geo-like)	/w/ -> v (nativized); Eng-like /uinstoni/
eng	Queen		ქვინი	kʰvini	epenthesis;substitution;length	gabunia2021 pp.50-51 (Geo-like)	/w/ -> v; /k/ stays ASPIRATE before a labial (no ejective in any token); long /iː/ shortened
eng	Beatles		ბიტლზი	bitʼlzi	epenthesis;substitution	gabunia2021 pp.50-51 (Geo-like)	/t/ -> ejective; tlz cluster imported intact; Eng-like /bitʰlzi/
eng	Speaker		სპიკერი	spʼikʼɛri	epenthesis;substitution	gabunia2021 pp.50-51 (Geo-like)	both stops -> ejective; sp onset intact; Eng-like /spʰikʰɛri/
eng	Chat		ჩატი	tʃatʼi	epenthesis;substitution;vowel	gabunia2021 pp.50-51 (Geo-like)	/t/ -> ejective; source prints BOTH variants as Geo-like (typo); Rayfield gives four forms chat-i/chath-i/chet-i/cheth-i
eng	Like		ლაიქი	laikʰi	epenthesis;substitution	gabunia2021 pp.50-51 (labelled Geo-like)	labels appear swapped vs every other row; Rayfield says the aspirate form is settled and laikʼi is a dog breed
eng	Mail		მაილი	maili	epenthesis;vowel	gabunia2021 pp.50-51 (Geo-like)	/eɪ/ -> ai by SPELLING not sound; Eng-like /mɛili/; the nativized variant is orthographic
eng	Windows		ვინდოუსი	vindɔusi	epenthesis;substitution;vowel	gabunia2021 pp.50-51 (Geo-like)	/w/ -> v; /oʊ/ -> ou two vowels; Eng-like /uindɔusi/
eng	Background		ბექგრაუნდი	bɛkʼgraundi	epenthesis;substitution;vowel	gabunia2021 pp.50-51 (Geo-like)	/k/ -> ejective; kgr and nd clusters intact; /aʊ/ -> au
eng	Chips		ჩიპსი	tʃipʼsi	epenthesis;substitution	gabunia2021 pp.50-51 (Geo-like)	/p/ -> ejective; ps cluster intact
eng	Snack		სნეკი	snɛkʼi	epenthesis;substitution;vowel	gabunia2021 pp.50-51 (Geo-like)	/k/ -> ejective; sn onset accepted; /ae/ -> ɛ
eng	Puzzle		პაზლი	pʼazli	epenthesis;substitution;gemination	gabunia2021 pp.50-51 (Geo-like)	/p/ -> ejective; zz degeminated; zl cluster intact
eng	Casting		კასტინგი	kʼastingi	epenthesis;substitution	gabunia2021 pp.50-51 (Geo-like)	/k/ -> ejective; /ng/ -> ng (not n); st retained as plain st here
eng	Shopping		შოპინგი	ʃɔpʼingi	epenthesis;substitution;gemination	gabunia2021 pp.50-51 (Geo-like)	/p/ -> ejective; pp degeminated; /ng/ -> ng
eng	Reception		რესეპშენი	rɛsɛpʼʃɛni	epenthesis;substitution	gabunia2021 pp.50-51 (Geo-like)	/p/ -> ejective; pʃ cluster intact
eng	Check in		ჩექინი	tʃɛkʼini	epenthesis;substitution	gabunia2021 pp.50-51 (Geo-like)	two-word item takes ONE final -i
eng	Weekend		უიკენდი	uikʼɛndi	epenthesis;substitution	gabunia2021 pp.50-51 (Geo-like)	/k/ -> ejective; INITIAL /w/ -> u in BOTH variants, unlike medial /w/ -> v
eng	Facebook		ფეისბუკი	pʰɛisbukʼi	epenthesis;substitution	gabunia2021 pp.50-51 (Geo-like)	/f/ -> aspirate p; /k/ -> ejective; Eng-like /fɛisbukʰi/; Mixed /fɛisbukʼi/
eng	Duty free		დუტი ფრი	dutʼi pʰri	substitution	gabunia2021 pp.50-51 (Geo-like)	/f/ -> aspirate p; vowel-final, so NO added -i; Very Eng-like /djutʰifri/
eng	Fake news		ფეიკნიუსი	pʰɛikʼniusi	epenthesis;substitution	gabunia2021 pp.50-51 (Geo-like)	/f/ -> aspirate p; /juː/ -> iu; single final -i on the compound
eng	iPhone		აიფონი	aipʰɔni	epenthesis;substitution	gabunia2021 pp.50-51 (Geo-like)	/f/ -> aspirate p; Eng-like /aifɔni/; Very Eng-like /aifəʊni/
eng	certificate		სერთიფიკატი	sɛrtʰipʰikʼatʼi	epenthesis;substitution	gabunia2021 p.12	the source's own illustration of the obligatory nominative -i; /f/ -> aspirate p
eng	sport		სპორტი	spʼɔrtʼi	epenthesis;substitution	gabunia2021 pp.7-8	"partial transphonemization"; sp onset and rt coda intact
eng	flirt		ფლირტი	pʰlirtʼi	epenthesis;substitution	gabunia2021 pp.7-8; kirvalidze2017 p.291	/f/ -> aspirate p; fl -> pl; Kirvalidze transcribes it [plɪrtɪ]
eng	forward		ფორუარდი	pʰɔruardi	epenthesis;substitution	gabunia2021 pp.7-8	/f/ -> aspirate p; here medial /w/ -> u, not v — the counterexample to the /w/ rule
eng	deadline		დედლაინი	dɛdlaini	epenthesis	gabunia2021 pp.7-8	"zero transphonemization"; dl cluster intact, no epenthesis
eng	leader		ლიდერი	lidɛri	epenthesis;length	gabunia2021 pp.7-8	long /iː/ shortened
eng	television		ტელევიზია	tʼɛlɛviziɑ	substitution	gabunia2021 p.11	Russian-mediated (televizia); vowel-final -ia, so no -i
eng	budget		ბიუჯეტი	biudʒɛtʼi	epenthesis;substitution	gabunia2021 p.11	Russian-mediated (biujeti); /ʌ/ -> iu via Russian ю
eng	partner		პარტნიორი	pʼartʼniɔri	epenthesis;substitution	gabunia2021 p.11	Russian-mediated (-nior from Russian -нёр); rtn cluster intact
eng	costume		კოსტუმი	kʼɔstʼumi	epenthesis;substitution	gabunia2021 p.18	excluded from the study for Russian mediation; the Russian-like rival is /kɔsʲtʲˈʉmi/ WITH PALATALIZATION — the only palatalization datum in the source set
eng	bluff		ბლეფი		substitution;epenthesis;gemination	kirvalidze2017 p.291	/f/ -> aspirate p (Kirvalidze transcribes the letter as [p]); ff degeminated
eng	test		ტესტი		epenthesis;substitution	kirvalidze2017 p.291	/t/ -> ejective; st coda intact
eng	fantastic		ფანტასტიური		substitution;epenthesis	kirvalidze2017 pp.291-292	/f/ -> aspirate p ([pantastiurɪ]); Georgian adjectival -uri suffix replaces -ic
eng	thriller		თრილერი		substitution;epenthesis	asaturova-garibashvili p.354	Russian-mediated (триллер); /th/ -> ASPIRATE t, not an ejective; ll degeminated
eng	hobby		ჰობი		epenthesis;gemination	asaturova-garibashvili p.353	/h/ -> h retained; bb degeminated
eng	producer		პროდიუსერი		epenthesis;substitution	asaturova-garibashvili p.354	Russian-mediated (продюсер): the -diu- can only come from Russian ю
eng	headline		ჰედლაინი		epenthesis;substitution	rayfield2023 p.18	/h/ -> h; medial dl imported with no epenthesis
eng	crush		ქრაში		epenthesis;substitution	rayfield2023 p.21	/kr/ -> aspirate k; final -i after a fricative
eng	troll		ტროლი		epenthesis;substitution;gemination	rayfield2023 p.21	/tr/ -> ejective t; ll degeminated
eng	public		ფუბლიქი		substitution;epenthesis	rayfield2023 p.25	Rayfield's key counterexample: English /p/ -> ASPIRATE p (the "f" letter), /k/ -> aspirate k
eng	player		პლეერი		epenthesis;substitution	rayfield2023 p.25	the contrasting case: English /p/ -> EJECTIVE p; /eɪə/ -> ee hiatus
eng	fitting		ფიტინგი		substitution;epenthesis;gemination	rayfield2023 p.23	/f/ -> aspirate p; tt degeminated; final /ng/ -> ng
eng	forward		ფორვარდი		substitution;epenthesis	rayfield2023 pp.23-24	MEDIAL /w/ -> v; contrast the initial-/w/ items
eng	workshops		უორკშოპები		substitution	rayfield2023 p.23	INITIAL /w/ -> u; English plural replaced by Georgian -eb-
eng	network		ნეთვორქი		substitution;epenthesis	rayfield2023 p.24	medial /w/ -> v; /t/ -> aspirate t; /k/ -> aspirate k
eng	half-back		ჰავბეკი		substitution;epenthesis	rayfield2023 pp.23-24	/h/ -> h; /f/ -> v (NOT aspirate p) before a voiced stop; almost certainly via Russian хавбек
