# Old Irish grapheme table (Old Irish spec §6, §11; plan Task 7, O-27, O-28, O-29, O-14).
# Read by `strands.spelled.load_graphemes`. Columns: token env left ipa role punctum note.
#   token    lower-case letters as written (1-3 chars); `n-` is the written nasal prefix.
#   env      initial | noninitial | final | any. `initial` = the word's first token;
#            `final` = its last token (the §40/§41 final digraphs must not swallow a medial
#            glide ⟨i⟩: *athair* is a+th+a+i+r, not a+th+ai+r).
#   left     letters, one of which must END the previous token (digest §10.2 conv. 4), or -.
#   ipa      `+`-joined segments of features.tsv, or - for silent.
#   role     cons | vowel | long | nasal | glide | silent | ending (spelled.ROLES).
#   punctum  the plain-letter form substituted when `punctum = off` (O-14), or -.
# The loader sorts by token length, LONGEST FIRST; within a length, file order is the
# tie-break. Where two rows share a token the more specific one comes first (`initial`
# before `noninitial`; a non-empty `left` before an empty one): this order is load-bearing
# for conv. 4. The BROAD/SLEN quality of a consonant is NOT in this table: it is the
# reconstruction's quality pass (digest §10.2 conv. 5) over the declared `quality-pairs`.
# Non-initial ⟨mb nd ng⟩ are cluster tokens (conv. 4: *imb* /imʲbʲ/, *long* /Loŋɡ/) so that
# the nasal is a nasal and not the lenited /ṽ/ of a single non-initial ⟨m⟩.
# ⟨mb⟩ CONFLICT (O-29): digest §10.2 master table says ⟨mb⟩ = /m/; §10.4's *a m-bo* /a mbo/
# suggests a cluster. The master table is followed.
token	env	left	ipa	role	punctum	note
mb	initial	-	mˠ	nasal	-	digest §10.2 master table: ⟨b⟩ eclipsed = /m/ (O-29)
nd	initial	-	n̪ˠ	nasal	-	digest §10.2 master table: ⟨d⟩ eclipsed
ng	initial	-	ŋ	nasal	-	digest §10.2 master table: ⟨g⟩ eclipsed
n-	initial	-	n̪ˠ	nasal	-	digest §10.4 nasalization of a vowel-initial word
mb	noninitial	-	mˠ+bˠ	cons	-	digest §10.2 conv. 4: after ⟨m⟩, ⟨b⟩ = /b/ and the ⟨m⟩ is the nasal — *imb* /imʲbʲ/ (R28)
nd	noninitial	-	n̪ˠ+d̪ˠ	cons	-	digest §10.2 conv. 4: after ⟨n⟩, ⟨d⟩ = /d/ — *bind* (R28)
ng	noninitial	-	ŋ+ɡ	cons	-	digest §10.2 conv. 4: after ⟨n⟩, ⟨g⟩ = /ɡ/ — *long* /Loŋɡ/ (R28); *ingen* /inʲɣʲən/ is the stated exception and is a lexicon row
ch	any	-	x	cons	-	digest §10.2 master table: ⟨c⟩ lenited
th	any	-	θ	cons	-	digest §10.2 master table
ph	any	-	fˠ	cons	-	digest §10.2 master table
ṡ	any	-	h	cons	s	digest §10.2 master table: ⟨ṡ sh⟩ = /h/
sh	any	-	h	cons	-	digest §10.2 master table (the pre-punctum spelling)
ḟ	any	-	-	silent	f	digest §10.2 master table: ⟨ḟ fh⟩ = ∅
fh	any	-	-	silent	-	digest §10.2 master table
cc	any	-	k	cons	-	digest §10.2 conv. 3: geminate = unmutated
tt	any	-	t̪ˠ	cons	-	digest §10.2 conv. 3
pp	any	-	pˠ	cons	-	digest §10.2 conv. 3
bb	any	-	bˠ	cons	-	digest §10.2 conv. 3
ss	any	-	sˠ	cons	-	digest §10.2 conv. 3 (*Nessa*, *Fergusso* — R29a)
ll	any	-	l̪ˠ+l̪ˠ	cons	-	digest §10.2 conv. 3: fortis (O-2)
